device_name,qubit1,qubit2,gate_name,property_name,value,unit,vendor_measured_at,polled_at
ibm_fez,80,81,cz,gate_error,0.0021161884871545578,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,80,81,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,81,80,cz,gate_error,0.0021161884871545578,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,81,80,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,85,86,cz,gate_error,0.0047441247766002725,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,85,86,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,86,85,cz,gate_error,0.0047441247766002725,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,86,85,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,131,138,cz,gate_error,0.0032910685145950413,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,131,138,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,138,131,cz,gate_error,0.0032910685145950413,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,138,131,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,140,141,cz,gate_error,0.00197198902133347,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,140,141,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,141,140,cz,gate_error,0.00197198902133347,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,141,140,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,36,41,cz,gate_error,0.0021231114723490874,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,36,41,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,41,36,cz,gate_error,0.0021231114723490874,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,41,36,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,71,72,cz,gate_error,1.0,,2026-08-30 19:39:54.388050-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,71,72,cz,gate_length,68.0,ns,2026-08-30 19:39:54.388050-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,72,71,cz,gate_error,1.0,,2026-08-30 19:39:54.388056-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,72,71,cz,gate_length,68.0,ns,2026-08-30 19:39:54.388056-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,81,82,cz,gate_error,0.003621035145432605,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,81,82,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,82,81,cz,gate_error,0.003621035145432605,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,82,81,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,108,109,cz,gate_error,0.0027448638210844367,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,108,109,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,109,108,cz,gate_error,0.0027448638210844367,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,109,108,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,13,cz,gate_error,0.0038110974796239094,,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,13,cz,gate_length,68.0,ns,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,12,cz,gate_error,0.0038110974796239094,,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,12,cz,gate_length,68.0,ns,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,99,115,cz,gate_error,0.002615472909530847,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,99,115,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,115,99,cz,gate_error,0.002615472909530847,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,115,99,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,23,cz,gate_error,0.0018396554003266008,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,22,23,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,22,cz,gate_error,0.0018396554003266008,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,23,22,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,38,cz,gate_error,0.0017386927501669425,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,29,38,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,38,29,cz,gate_error,0.0017386927501669425,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,38,29,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,49,50,cz,gate_error,0.023687700974229564,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,49,50,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,50,49,cz,gate_error,0.023687700974229564,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,50,49,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,104,105,cz,gate_error,0.002645110575698023,,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,104,105,cz,gate_length,68.0,ns,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,105,104,cz,gate_error,0.002645110575698023,,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,105,104,cz,gate_length,68.0,ns,2026-08-30 05:08:30-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,114,115,cz,gate_error,0.002607459459420869,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,114,115,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,115,114,cz,gate_error,0.002607459459420869,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,115,114,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,109,110,cz,gate_error,0.0020262584226461156,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
